hemLocationId,maritalStatusId,dependants,incomeRangeId,weeklyValue
1,married,0,1,585
1,married,1,1,686
1,married,2,1,755
1,married,3,1,864
1,single,0,1,298
1,single,1,1,412
1,single,2,1,531
1,single,3,1,666
1,married,0,2,585
1,married,1,2,686
1,married,2,2,755
1,married,3,2,864
1,single,0,2,314
1,single,1,2,412
1,single,2,2,531
1,single,3,2,666
1,married,0,3,601
1,married,1,3,686
1,married,2,3,755
1,married,3,3,864
1,single,0,3,330
1,single,1,3,428
1,single,2,3,547
1,single,3,3,666
1,married,0,4,627
1,married,1,4,712
1,married,2,4,780
1,married,3,4,864
1,single,0,4,356
1,single,1,4,454
1,single,2,4,573
1,single,3,4,693
1,married,0,5,667
1,married,1,5,752
1,married,2,5,821
1,married,3,5,905
1,single,0,5,397
1,single,1,5,495
1,single,2,5,614
1,single,3,5,734
1,married,0,6,728
1,married,1,6,813
1,married,2,6,881
1,married,3,6,967
1,single,0,6,458
1,single,1,6,556
1,single,2,6,676
1,single,3,6,796
1,married,0,7,816
1,married,1,7,901
1,married,2,7,970
1,married,3,7,1056
1,single,0,7,547
1,single,1,7,645
1,single,2,7,766
1,single,3,7,887
1,married,0,8,892
1,married,1,8,977
1,married,2,8,1046
1,married,3,8,1133
1,single,0,8,623
1,single,1,8,722
1,single,2,8,844
1,single,3,8,966
1,married,0,9,970
1,married,1,9,1055
1,married,2,9,1124
1,married,3,9,1212
1,single,0,9,702
1,single,1,9,801
1,single,2,9,924
1,single,3,9,1046
1,married,0,10,1022
1,married,1,10,1107
1,married,2,10,1176
1,married,3,10,1265
1,single,0,10,754
1,single,1,10,853
1,single,2,10,976
1,single,3,10,1099
1,married,0,11,1086
1,married,1,11,1171
1,married,2,11,1239
1,married,3,11,1329
1,single,0,11,818
1,single,1,11,918
1,single,2,11,1042
1,single,3,11,1165
1,married,0,12,1201
1,married,1,12,1285
1,married,2,12,1354
1,married,3,12,1445
1,single,0,12,934
1,single,1,12,1034
1,single,2,12,1158
1,single,3,12,1283
1,married,0,13,1373
1,married,1,13,1457
1,married,2,13,1526
1,married,3,13,1620
1,single,0,13,1107
1,single,1,13,1208
1,single,2,13,1334
1,single,3,13,1460
1,married,0,14,1395
1,married,1,14,1479
1,married,2,14,1548
1,married,3,14,1642
1,single,0,14,1129
1,single,1,14,1230
1,single,2,14,1356
1,single,3,14,1482
2,married,0,1,610
2,married,1,1,712
2,married,2,1,780
2,married,3,1,890
2,single,0,1,324
2,single,1,1,437
2,single,2,1,557
2,single,3,1,693
2,married,0,2,610
2,married,1,2,712
2,married,2,2,780
2,married,3,2,890
2,single,0,2,340
2,single,1,2,437
2,single,2,2,557
2,single,3,2,693
2,married,0,3,627
2,married,1,3,712
2,married,2,3,780
2,married,3,3,890
2,single,0,3,356
2,single,1,3,454
2,single,2,3,573
2,single,3,3,693
2,married,0,4,652
2,married,1,4,737
2,married,2,4,806
2,married,3,4,890
2,single,0,4,382
2,single,1,4,479
2,single,2,4,599
2,single,3,4,719
2,married,0,5,693
2,married,1,5,778
2,married,2,5,846
2,married,3,5,931
2,single,0,5,422
2,single,1,5,520
2,single,2,5,640
2,single,3,5,760
2,married,0,6,753
2,married,1,6,838
2,married,2,6,907
2,married,3,6,992
2,single,0,6,483
2,single,1,6,582
2,single,2,6,702
2,single,3,6,823
2,married,0,7,842
2,married,1,7,926
2,married,2,7,995
